0,1,2,3,4,5,6,7
93.0,62.0,57.0,59.0,3.0,0.0,38.0,3.0
206.0,43.0,50.0,55.0,50.0,0.0,15.0,10.0
88.0,68.0,17.0,71.0,15.0,0.0,11.0,5.0
170.0,50.0,37.0,90.0,0.0,0.0,12.0,5.0
84.0,62.0,24.0,67.0,21.0,0.0,13.0,28.0
134.0,81.0,53.0,72.0,51.0,0.0,12.0,5.0
158.0,54.0,50.0,40.0,61.0,0.0,10.0,6.0
116.0,80.0,92.0,80.0,4.0,0.0,10.0,3.0
117.0,61.0,45.0,69.0,2.0,0.0,9.0,3.0
114.0,77.0,65.0,72.0,2.0,0.0,7.0,5.0
108.0,61.0,47.0,68.0,0.0,0.0,13.0,3.0
144.0,74.0,37.0,53.0,7.0,0.0,21.0,10.0
130.0,51.0,18.0,44.0,76.0,0.0,11.0,3.0
116.0,77.0,79.0,62.0,33.0,1.0,15.0,3.0
121.0,65.0,49.0,78.0,0.0,0.0,17.0,4.0
112.0,64.0,54.0,81.0,36.0,0.0,11.0,6.0
100.0,70.0,47.0,52.0,30.0,0.0,6.0,33.0
150.0,55.0,30.0,78.0,24.0,0.0,12.0,8.0
120.0,84.0,96.0,71.0,18.0,0.0,34.0,17.0
127.0,82.0,89.0,85.0,4.0,0.0,23.0,6.0
90.0,51.0,42.0,61.0,53.0,0.0,9.0,3.0
128.0,75.0,79.0,63.0,33.0,0.0,15.0,4.0
143.0,64.0,31.0,87.0,4.0,4.0,8.0,4.0
139.0,74.0,68.0,68.0,3.0,0.0,26.0,4.0
162.0,49.0,78.0,64.0,19.0,0.0,11.0,4.0
92.0,81.0,39.0,60.0,31.0,0.0,7.0,3.0
95.0,87.0,57.0,55.0,10.0,0.0,29.0,7.0
146.0,63.0,88.0,93.0,3.0,0.0,10.0,8.0
95.0,55.0,56.0,82.0,12.0,0.0,34.0,5.0
115.0,35.0,12.0,30.0,93.0,0.0,10.0,3.0
128.0,78.0,59.0,65.0,10.0,0.0,26.0,5.0
130.0,82.0,69.0,83.0,3.0,0.0,27.0,5.0
127.0,80.0,74.0,77.0,36.0,0.0,11.0,4.0
150.0,42.0,20.0,86.0,21.0,0.0,9.0,9.0
122.0,78.0,50.0,63.0,27.0,0.0,9.0,5.0
140.0,52.0,20.0,85.0,0.0,0.0,7.0,5.0
140.0,63.0,22.0,54.0,46.0,0.0,12.0,8.0
119.0,75.0,48.0,53.0,18.0,0.0,18.0,34.0
110.0,76.0,96.0,72.0,32.0,0.0,9.0,4.0
95.0,60.0,17.0,45.0,16.0,0.0,11.0,2.0
132.0,56.0,20.0,55.0,45.0,1.0,32.0,3.0
125.0,77.0,74.0,78.0,4.0,0.0,23.0,11.0
124.0,84.0,65.0,50.0,67.0,0.0,13.0,6.0
133.0,93.0,68.0,65.0,42.0,0.0,12.0,25.0
112.0,92.0,67.0,66.0,0.0,0.0,36.0,9.0
97.0,79.0,92.0,89.0,5.0,0.0,6.0,5.0
90.0,59.0,52.0,48.0,38.0,5.0,10.0,11.0
80.0,65.0,27.0,69.0,8.0,0.0,53.0,4.0
172.0,45.0,33.0,59.0,6.0,0.0,8.0,3.0
120.0,60.0,24.0,35.0,73.0,0.0,31.0,3.0
